	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu195	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	91	Ruminococcus2	11
Otu215	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Eisenbergiella	45
Otu194	Bacteria	100	Proteobacteria	100	Hydrogenophilalia	100	Hydrogenophilales	100	Hydrogenophilaceae	100	Tepidiphilus	100
Otu152	Bacteria	100	Firmicutes	100	Erysipelotrichia	100	Erysipelotrichales	100	Erysipelotrichaceae	100	Turicibacter	100
Otu214	Bacteria	87	Firmicutes	17	Clostridia	15	Thermoanaerobacterales	4	Thermoanaerobacteraceae	4	Calderihabitans	2
Otu57	Bacteria	100	Actinobacteria	99	Coriobacteriia	99	Coriobacteriales	61	Coriobacteriaceae	59	Senegalimassilia	59
Otu100	Bacteria	100	Firmicutes	100	Erysipelotrichia	98	Erysipelotrichales	98	Erysipelotrichaceae	98	Amedibacillus	44
Otu82	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Lachnospiracea_incertae_sedis	59
Otu136	Bacteria	100	Firmicutes	97	Clostridia	90	Clostridiales	89	Clostridiales_Incertae Sedis XIII	17	Anaerovorax	7
Otu196	Bacteria	100	Firmicutes	96	Clostridia	93	Clostridiales	92	Clostridiales_Incertae Sedis XIII	36	Bacilliculturomica	36
Otu193	Bacteria	100	Firmicutes	100	Erysipelotrichia	88	Erysipelotrichales	88	Erysipelotrichaceae	88	Turicibacter	88
Otu78	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Ruminococcus2	11
Otu155	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Prevotellaceae	100	Prevotella	100
Otu89	Bacteria	100	Firmicutes	100	Erysipelotrichia	98	Erysipelotrichales	98	Erysipelotrichaceae	98	Catenisphaera	31
Otu18	Bacteria	100	Firmicutes	100	Erysipelotrichia	100	Erysipelotrichales	100	Erysipelotrichaceae	99	Longibaculum	87
Otu187	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Peptoniphilaceae	100	Anaerococcus	100
Otu189	Bacteria	100	Firmicutes	96	Erysipelotrichia	77	Erysipelotrichales	77	Erysipelotrichaceae	77	Turicibacter	76
Otu180	Bacteria	100	Firmicutes	99	Clostridia	96	Clostridiales	96	Lachnospiraceae	34	Robinsoniella	4
Otu19	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Bacteroidaceae	100	Bacteroides	100
Otu40	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Enterocloster	27
Otu10	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Oscillibacter	61
Otu50	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	94	Intestinimonas	78
Otu24	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Ruminococcus	80
Otu109	Bacteria	99	Firmicutes	60	Erysipelotrichia	41	Erysipelotrichales	41	Erysipelotrichaceae	41	Holdemania	22
Otu38	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Acetatifactor	81
Otu77	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Cuneatibacter	28
Otu58	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Merdimonas	36
Otu56	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	99	Lachnospiraceae	98	Marvinbryantia	68
Otu46	Bacteria	100	Firmicutes	98	Clostridia	90	Clostridiales	87	Lachnospiraceae	31	Robinsoniella	8
Otu102	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Anaerotruncus	97
Otu63	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	97	Sporobacter	49
Otu68	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Flavonifractor	67
Otu79	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	96	Clostridium XlVa	29
Otu47	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Anaerosporobacter	11
Otu66	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Ruminococcaceae	96	Flintibacter	40
Otu71	Bacteria	100	Firmicutes	82	Clostridia	79	Clostridiales	78	Clostridiales_Incertae Sedis XIII	18	Ihubacter	8
Otu27	Bacteria	100	Firmicutes	100	Clostridia	98	Clostridiales	98	Ruminococcaceae	96	Flintibacter	57
Otu118	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Enterocloster	26
Otu156	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Flintibacter	74
Otu65	Bacteria	100	Firmicutes	100	Clostridia	98	Clostridiales	98	Lachnospiraceae	94	Anaerotignum	90
Otu48	Bacteria	100	Firmicutes	96	Clostridia	89	Clostridiales	78	Catabacteriaceae	29	Catabacter	29
Otu175	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	91	Robinsoniella	16
Otu74	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	96
Otu86	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	97	Oscillibacter	34
Otu41	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	92	Sporobacter	56
Otu29	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Dysosmobacter	99
Otu81	Bacteria	100	Firmicutes	94	Clostridia	94	Clostridiales	94	Lachnospiraceae	90	Acetitomaculum	24
Otu30	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	98	Ruminococcus2	13
Otu43	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Ruminococcaceae	96	Oscillibacter	52
Otu80	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Phocea	52
Otu44	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Clostridium XlVa	18
Otu36	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Acutalibacter	100
Otu123	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Lachnotalea	32
Otu52	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Phocea	81
Otu90	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Lacrimispora	34
Otu110	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Sellimonas	27
