OTU3607	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia schinkii	1;1;1;1;1;0.807422;0.241581
OTU3230	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides paurosaccharolyticus	1;1;1;1;1;1;0.819049
OTU3586	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;Pseudobutyrivibrio ruminis	1;1;1;1;0.982682;0.798512;0.798512
OTU695	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae	1;1;0.610233;0.610233;0.610233
OTU3803	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Yersinia	1;0.714286;0.571429;0.285714;0.285714;0.142857
OTU3007	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	1;1;1;1;1
OTU2428	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii	1;1;1;1;0.965888;0.905468;0.905468
OTU3237	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii	1;1;1;1;1;0.999939;0.999939
OTU3206	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella;Bartonella coopersplainsensis	1;0.309936;0.309936;0.309936;0.309936;0.309936;0.309784
OTU811	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	1;1;1;1;0.999983
OTU395	Bacteria;Firmicutes;Clostridia;Clostridiales	1;0.915016;0.915016;0.894558
OTU2811	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	1;1;1;1;0.983139;0.797262
OTU1010	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Caloribacterium;Caloribacterium cisternae	1;1;0.942753;0.942753;0.487751;0.487751;0.487751
OTU3084	Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	1;1;1;1;1;1
OTU3577	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi	1;1;1;1;1;0.725101;0.725101
OTU3219	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	1;1;1;1;1;1;0.999878
OTU3648	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	1;1;1;1;0.983139;0.797171
OTU662	Bacteria;Tenericutes;Mollicutes	1;0.563488;0.563488
OTU2674	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	1;1;1;1;0.781961;0.781961
OTU2937	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;1;1;1;1
OTU1788	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Yersinia	1;0.714286;0.571429;0.285714;0.285714;0.142857
OTU1742	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii	1;1;1;1;1;0.929657;0.929657
OTU2928	Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter hominis	1;1;1;1;1;1;0.999878
OTU3487	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;1;1;1;1
OTU3462	Bacteria;Actinobacteria;Actinobacteria;Rubrobacterales;Rubrobacteraceae;Rubrobacter;Rubrobacter bracarensis	1;0.641206;0.641206;0.641205;0.641205;0.641205;0.513461
OTU3833	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium	1;1;1;1;0.928129;0.655499
OTU3863	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;Lactonifactor longoviformis	1;1;1;1;0.999878;0.999878;0.999878
OTU3448	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseibium;Roseibium sp. DSG-S4-2	1;1;1;1;1;0.927535;0.927535
OTU43	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	1;1;1;1;1;1
OTU1220	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;Lactonifactor longoviformis	1;1;1;1;0.756359;0.756359;0.756359
OTU1150	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	1;1;1;1;1;1
OTU259	Bacteria;Tenericutes;Mollicutes	1;1;1
OTU1718	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;1;1;1;1
OTU1749	Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus	1;1;1;1;1;0.999989
OTU1926	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium	1;1;1;1;1;0.722471
OTU1035	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	1;1;1;1;1;0.911603
OTU2293	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;1;1;1;0.999998
OTU3130	Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Brachyspiraceae;Brachyspira;Brachyspira hyodysenteriae	1;0.248819;0.248819;0.248819;0.248819;0.248819;0.246875
OTU2690	Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Microscilla;Microscilla marina	1;1;1;1;0.95812;0.463103;0.463103
OTU2605	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces	1;0.857143;0.857143;0.857143;0.857143;0.857143
OTU1228	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	1;0.877804;0.877804;0.877804;0.635906
