	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu194	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	32.0
Otu208	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Duncaniella	100.0
Otu228	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	48.0
Otu112	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Cuneatibacter	19.0
Otu163	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Falcatimonas	7.0
Otu110	Bacteria	100	Actinobacteria	100	Coriobacteriia	97	Eggerthellales	61	Eggerthellaceae	61	Adlercreutzia	40.0
Otu223	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	97.0
Otu157	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Faecalimonas	14.0
Otu130	Bacteria	100	Actinobacteria	99	Coriobacteriia	99	Coriobacteriales	61	Coriobacteriaceae	59	Senegalimassilia	59.0
Otu147	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	99	Caproiciproducens	57.0
Otu133	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Muricomes	33.0
Otu206	Bacteria	100	Firmicutes	99	Clostridia	98	Clostridiales	97	Lachnospiraceae	88	Clostridium XlVb	60.0
Otu144	Bacteria	100	Firmicutes	100	Clostridia	98	Clostridiales	98	Ruminococcaceae	96	Flintibacter	57.0
Otu177	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Faecalibacterium	100.0
Otu58	Bacteria	100	Firmicutes	97	Clostridia	97	Clostridiales	97	Lachnospiraceae	67	Anaerotignum	55.0
Otu116	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Stomatobaculum	34.0
Otu186	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	99	Butyricicoccus	89.0
Otu171	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetitomaculum	14.0
Otu63	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	85.0
Otu108	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	93	Clostridium XlVa	21.0
Otu123	Bacteria	100	Firmicutes	99	Clostridia	89	Clostridiales	89	Lachnospiraceae	30	Robinsoniella	16.0
Otu55	Bacteria	100	Firmicutes	97	Clostridia	91	Clostridiales	89	Clostridiales_Incertae Sedis XIII	21	Anaerovorax	14.0
Otu159	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	96	Paramuribaculum	62.0
Otu190	Bacteria	100	Fusobacteria	100	Fusobacteriia	100	Fusobacteriales	100	Fusobacteriaceae	100	Fusobacterium	100.0
Otu146	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	99	Ruminococcaceae	94	Clostridium IV	53.0
Otu126	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Muribaculum	61.0
Otu270	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Odoribacteraceae	99	Odoribacter	99.0
Otu207	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Agathobacter	55.0
Otu198	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Pasteurellales	100	Pasteurellaceae	100	Haemophilus	91.0
