	Kingdom	Phylum	Class	Order	Family	Genus
Otu1149	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu115	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
Otu1151	Unclassified					
Otu1152	Unclassified					
Otu1153	Unclassified					
Otu1154	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-008
Otu116	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Otu1161	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1163	Unclassified					
Otu1166	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
Otu117	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales		
Otu1173	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu1177	Unclassified					
Otu118	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1189	Unclassified					
Otu119	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis
Otu1190	Unclassified					
Otu1191	Unclassified					
Otu1194	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter
Otu1195	Unclassified					
Otu1196	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1198	Unclassified					
Otu12	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu120	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu121	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	
Otu1218	Unclassified					
Otu1219	Unclassified					
Otu1224	Unclassified					
Otu123	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales		
Otu1232	Unclassified					
Otu1234	Bacteria	Firmicutes	Clostridia			
Otu1237	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group
Otu124	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	
Otu1249	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu125	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1253	Unclassified					
Otu1257	Unclassified					
Otu126	Bacteria	Firmicutes	Clostridia			
Otu1260	Unclassified					
Otu1264	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
