Otu,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu405,Bacteria,1,Firmicutes,0.75,Clostridia,0.5,Clostridiales,0.47,Tissierellaceae,0.25,Tissierella,0.25
Otu410,Bacteria,1,Bacteroidetes,0.92,Cytophagia,0.77,Cytophagales,0.77,Cytophagaceae,0.77,Emticicia,0.77
Otu408,Bacteria,1,Firmicutes,0.86,Bacilli,0.83,Lactobacillales,0.66,Streptococcaceae,0.6,Lactococcus,0.59
Otu411,Bacteria,1,Firmicutes,0.93,Clostridia,0.93,Clostridiales,0.82,Ruminococcaceae,0.79,Clostridium_IV,0.34
Otu406,Bacteria,1,Firmicutes,0.93,Clostridia,0.92,Clostridiales,0.87,Clostridiaceae_1,0.55,Caloramator,0.49
Otu414,Bacteria,0.99,Firmicutes,0.67,Bacilli,0.39,Lactobacillales,0.28,Lactobacillaceae,0.14,Latilactobacillus,0.13
Otu413,Bacteria,1,Firmicutes,0.97,Bacilli,0.89,Lactobacillales,0.89,Streptococcaceae,0.88,Streptococcus,0.88
Otu415,Bacteria,0.99,Fusobacteria,0.26,Fusobacteriia,0.26,Fusobacteriales,0.26,Fusobacteriaceae,0.26,Fusobacterium,0.26
Otu418,Bacteria,0.96,Proteobacteria,0.26,Actinobacteria,0.22,Oceanospirillales,0.14,Halomonadaceae,0.14,Halomonas,0.12
Otu417,Bacteria,0.92,Actinobacteria,0.33,Actinobacteria,0.3,Pseudonocardiales,0.25,Pseudonocardiaceae,0.25,Amycolatopsis,0.2
Otu424,Bacteria,0.84,Actinobacteria,0.44,Actinobacteria,0.44,Mycobacteriales,0.21,Corynebacteriaceae,0.2,Corynebacterium,0.2
Otu423,Bacteria,0.96,Proteobacteria,0.45,Alphaproteobacteria,0.44,Sphingomonadales,0.4,Sphingomonadaceae,0.37,Sphingomonas,0.36
Otu420,Bacteria,1,Firmicutes,0.8,Clostridia,0.7,Clostridiales,0.7,Ruminococcaceae,0.49,Papillibacter,0.22
Otu416,Bacteria,1,Bacteroidetes,1,Cytophagia,0.86,Cytophagales,0.86,Cytophagaceae,0.85,Emticicia,0.85
Otu425,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.62,Butyricicoccus,0.49
Otu421,Bacteria,1,Firmicutes,0.8,Clostridia,0.8,Clostridiales,0.8,Peptostreptococcaceae,0.8,Clostridium_XI,0.33
Otu422,Bacteria,1,Bacteroidetes,0.65,Bacteroidia,0.64,Bacteroidales,0.64,Bacteroidaceae,0.61,Bacteroides,0.61
Otu426,Bacteria,0.89,Bacteroidetes,0.45,Sphingobacteriia,0.24,Sphingobacteriales,0.24,Sphingobacteriaceae,0.24,Sphingobacterium,0.24
Otu419,Bacteria,1,Proteobacteria,1,Betaproteobacteria,1,Burkholderiales,1,Comamonadaceae,1,Aquabacterium,0.99
Otu432,Bacteria,0.8,Bacteroidetes,0.3,Bacteroidia,0.16,Bacteroidales,0.16,Bacteroidaceae,0.13,Bacteroides,0.13
Otu427,Bacteria,1,Firmicutes,0.9,Clostridia,0.79,Clostridiales,0.79,Clostridiaceae_1,0.78,Clostridium_sensu_stricto,0.78
Otu434,Bacteria,0.93,Actinobacteria,0.25,Actinobacteria,0.24,Micrococcales,0.22,Sporomusaceae,0.17,Sporomusa,0.12
Otu428,Bacteria,1,Firmicutes,0.98,Erysipelotrichia,0.98,Erysipelotrichales,0.98,Erysipelotrichaceae,0.98,Faecalicoccus,0.52
Otu431,Bacteria,1,Ignavibacteriae,0.59,Ignavibacteria,0.59,Ignavibacteriales,0.59,Ignavibacteriaceae,0.59,Melioribacter,0.58
Otu430,Bacteria,1,Bacteroidetes,0.54,Bacteroidia,0.54,Bacteroidales,0.54,Bacteroidaceae,0.47,Phocaeicola,0.44
Otu429,Bacteria,1,Firmicutes,0.98,Clostridia,0.97,Clostridiales,0.97,Ruminococcaceae,0.41,Clostridium_sensu_stricto,0.38
