,Time,Subject,Assemblage,Value,log10Value
172,8,H11,A5,0.054390581592917445,-1.2644762972935928
173,8,H11,A6,0.0031602064488688484,-2.500284545015822
174,8,H11,A7,0.04731663366034627,-1.3249861608053275
175,8,H11,A8,0.01824208100605756,-1.738925620070328
176,8,H11,A9,0.03095366134122014,-1.5092879732596183
177,8,H11,A10,0.023751544826664032,-1.62430813812851
178,8,H11,A11,0.00823418558598496,-2.0843793488929547
179,8,H11,A12,0.027095979236997664,-1.5670951491527971
180,8,H11,A13,0.0077243767010513695,-2.112136554778883
181,8,H11,A14,0.025488988815806805,-1.5936473932645914
182,8,H11,A15,0.025012037884443998,-1.6018509221874142
183,8,H11,A16,0.030184113590046763,-1.5202215734498623
184,8,H11,A17,0.008580087509471923,-2.0665082827005996
185,8,H11,A18,0.020635290942154823,-1.685389403516314
186,8,H11,A19,0.01720863019768149,-1.7642536980201704
187,8,H11,A20,0.030920030511915685,-1.5097600861912912
188,8,H11,A21,0.007634402730735019,-2.1172249338390343
189,8,H11,A22,0.004428510808618739,-2.3537422910070145
190,8,H11,A23,0.007894548513926566,-2.1026727020732996
191,8,H11,A24,0.00678939684224315,-2.1681688059434556
192,8,H11,A25,0.004049566514673643,-2.3925914632942233
193,8,H11,A26,0.014565446652472018,-1.836676193100873
194,8,H11,A27,0.0093436867618002,-2.0294817292965233
195,8,H11,A28,0.05407587806880474,-1.2669964198807238
196,8,H11,A29,0.021791059529408813,-1.6617216528841354
197,8,H11,A30,0.02044496353995055,-1.6894136595979017
198,8,H11,A31,0.006190186119172722,-2.2082962929323022
199,8,H11,A32,0.010611620364477858,-1.974218295493476
200,8,H11,A33,0.015997613728046416,-1.7959447937209945
201,8,H11,A34,0.027724981466308238,-1.5571287354973866
202,8,H11,A35,0.012338215522002429,-1.90874764783828
203,8,H11,A36,0.0045380988594843075,-2.343126047529781
204,8,H11,A37,0.010074455248191953,-1.996778427975979
205,8,H11,A38,0.03285133982636034,-1.483446913247914
206,8,H11,A39,0.006970576687715948,-2.1567312904913223
207,8,H11,A40,0.02558918564580381,-1.5919435349475655
208,8,H11,A41,0.03423012154176831,-1.4655915587988573
209,8,H11,A42,0.011980627236422152,-1.9215204442016256
210,10,H11,A1,0.039243906624615195,-1.406227766300672
211,10,H11,A2,0.12419815078377723,-0.9058848704265897
212,10,H11,A3,0.015226331246085465,-1.817404726441942
213,10,H11,A4,0.04200599505752325,-1.3766887230640275
214,10,H11,A5,0.05810832648724318,-1.235761632009539
215,10,H11,A6,0.03416348219104111,-1.4664378692687663
216,10,H11,A7,0.02602724269963801,-1.5845718381819616
217,10,H11,A8,0.01435034455358982,-1.8431376713393022
218,10,H11,A9,0.03771678188629449,-1.4234653697164412
219,10,H11,A10,0.02111996200121939,-1.67530686751491
220,10,H11,A11,0.0367539394069463,-1.434696104987744
221,10,H11,A12,0.030881885970011354,-1.5102961849762597
222,10,H11,A13,0.009631476019509137,-2.016307152334767
223,10,H11,A14,0.04146361550502479,-1.38233283139263
224,10,H11,A15,0.022180170484818518,-1.6540351200294476
225,10,H11,A16,0.015590119193308055,-1.8071505644264192
226,10,H11,A17,0.009519206074997783,-2.0213992713240945
227,10,H11,A18,0.02372329397778958,-1.6248250093610381
228,10,H11,A19,0.033068775260820985,-1.4805818893716556
229,10,H11,A20,0.024456175574101506,-1.6116114564135615
230,10,H11,A21,0.004310428012511693,-2.3654796035648196
231,10,H11,A22,0.007661424596561119,-2.1156904683699307
232,10,H11,A23,0.018358726201578975,-1.7361574550964622
233,10,H11,A24,0.007807319480692968,-2.1074980486533543
234,10,H11,A25,0.0062836840630043295,-2.2017856589508376
235,10,H11,A26,0.017850064339116217,-1.7483602141695591
236,10,H11,A27,0.014006393738090992,-1.8536736692291584
237,10,H11,A28,0.04824617340415716,-1.316537126576396
238,10,H11,A29,0.01775453915819526,-1.7506905958856136
239,10,H11,A30,0.015537056459579616,-1.8086312560916689
240,10,H11,A31,0.009835449725855141,-2.00720577717913
241,10,H11,A32,0.00832738224696368,-2.079491499718199
242,10,H11,A33,0.009621029290836304,-2.0167784631578205
243,10,H11,A34,0.0186567899864167,-1.7291630771549045
244,10,H11,A35,0.015713196384720504,-1.8037354616153225
245,10,H11,A36,0.002986901738564484,-2.5247790643396817
246,10,H11,A37,0.012967788772657514,-1.8871340721583372
247,10,H11,A38,0.04642315199412406,-1.3332653755737223
248,10,H11,A39,0.010633503950200974,-1.9733236032578099
249,10,H11,A40,0.013455824992153793,-1.8710896699882082
250,10,H11,A41,0.021500979073345663,-1.6675417635043894
251,10,H11,A42,0.012633014273364097,-1.8984930131737934
252,11,H11,A1,0.06204479482024908,-1.2072946472944208
253,11,H11,A2,0.08205736202001572,-1.0858824488432188
254,11,H11,A3,0.04287846488319337,-1.3677607714657618
255,11,H11,A4,0.05685419933497906,-1.245237452160854
256,11,H11,A5,0.013390496432781219,-1.873203321866185
257,11,H11,A6,0.00637839243048802,-2.19528876431029
258,11,H11,A7,0.031378684118390086,-1.503365272734567
259,11,H11,A8,0.0556331527531147,-1.2546663277190215
260,11,H11,A9,0.03883030783943832,-1.4108291664346522
261,11,H11,A10,0.027419271057471634,-1.5619440951309609
262,11,H11,A11,0.010487373149953783,-1.979333279141386
263,11,H11,A12,0.044429749686270954,-1.3523261335333245
264,11,H11,A13,0.017227639903314412,-1.7637742145526882
265,11,H11,A14,0.03746317258477211,-1.426395446989694
266,11,H11,A15,0.015018695631995798,-1.823367784004631
267,11,H11,A16,0.010866149049252271,-1.9639243421125467
268,11,H11,A17,0.028833621673285962,-1.5401008042320434
269,11,H11,A18,0.010455387559719384,-1.9806598641444488
270,11,H11,A19,0.0036354177610483022,-2.439445675343288
271,11,H11,A20,0.057476142708212136,-1.24051238557521
272,11,H11,A21,0.03448326684348285,-1.4623915971138397
273,11,H11,A22,0.029278473841026425,-1.5334515648983087
274,11,H11,A23,0.021420180237852037,-1.6691768791635822
275,11,H11,A24,0.017337274331599473,-1.761019178820111
276,11,H11,A25,0.008800821322249248,-2.05547679613663
277,11,H11,A26,0.021414088443852963,-1.669300407946398
278,11,H11,A27,0.016060785887762906,-1.7942332076022778
279,11,H11,A28,0.006825249348767101,-2.1658814777940947
280,11,H11,A29,0.015793169137090446,-1.8015307135224217
281,11,H11,A30,0.004030837119673379,-2.3946047507073445
282,11,H11,A31,0.007966580630047246,-2.098728043992967
283,11,H11,A32,0.01140847765095532,-1.9427723040392355
284,11,H11,A33,0.009879418229684234,-2.0052686290031536
285,11,H11,A34,0.008264374759746715,-2.0827899973451904
286,11,H11,A35,0.020679545731283725,-1.6844590056440363
287,11,H11,A36,0.045917927276343105,-1.3380177241110232
288,11,H11,A37,0.013617479594890028,-1.865903266822835
289,11,H11,A38,0.015902710244990886,-1.7985288540356112
290,11,H11,A39,0.004633808959741146,-2.3340618750433446
291,11,H11,A40,0.004089149152161554,-2.388367048218137
292,11,H11,A41,0.00972427653009072,-2.012142699583445
293,11,H11,A42,0.019713640373200177,-1.7052331703421375
